SentenceID,Season,Episode,Sentence,Episode_num,Episode_id
0,1,3,Rest_and_Ricklaxation,None,6,26
1,1,3,The_Rickshank_Rickdemption,"<p><b><a class=""mw-redirect"" href=""/wiki/Rick"" title=""Rick"">Rick</a>:</b> Anyway, that's how I escaped from space prison! Oh, scary place.",1,22
2,2,3,The_Rickshank_Rickdemption,"
<b><a class=""mw-redirect"" href=""/wiki/Morty"" title=""Morty"">Morty</a>:</b> Wow, Rick! That's -- That's one -- one heck of a story. I sure do wish I could have been there to see it happen.",1,22
3,3,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Oh, come on. Who wants to watch a mad scientist use handmade sci-fi tools to take out highly trained alien guards when we can sit here and be a family at <a href=""/wiki/Shoney%27s"" title=""Shoney's"">Shoney's</a>? ",1,22
4,4,3,The_Rickshank_Rickdemption,"
<b><a class=""mw-redirect"" href=""/wiki/Beth"" title=""Beth"">Beth</a>:</b> Dad, it's great to have you back, no matter where we are, but wouldn't you like to go home?",1,22
5,5,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Emotionally speaking, honey, Shoney's is my home.",1,22
6,6,3,The_Rickshank_Rickdemption,"
<b><a class=""mw-redirect"" href=""/wiki/Jerry"" title=""Jerry"">Jerry</a>:</b> Yeah, but you just got out of prison. I mean, how much of a step up from that is -- ",1,22
7,7,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Jerry, get out of the booth, take all your clothes off, and fold yourself 12 times.",1,22
8,8,3,The_Rickshank_Rickdemption,"
<b>Jerry:</b> You got it. [ Grunting ] ",1,22
9,9,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Six folds, huh? W-W-What, have you guys got me in a <a href=""/wiki/Series_9000_Brainalyzer"" title=""Series 9000 Brainalyzer"">Series 9000</a>? You cheap insect [bleep] didn't think I was worth your best equipment?",1,22
10,10,3,The_Rickshank_Rickdemption,"
<b><a href=""/wiki/Cornvelious_Daniel"" title=""Cornvelious Daniel"">Cornvelious Daniel</a>:</b> [ Chuckles ] Man, I told the money bugs. I said, ""You know who this guy is, right? You want me to get intel out of the smartest mammal in the galaxy, you better give me a decent brainalyzer.",1,22
11,11,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Well, you might as well order some pancakes, because I don't see the need to leave this part of my brain.",1,22
12,12,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> Oh, I think you do. Eventually, you're either gonna relax your cerebellum.",1,22
13,13,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Shoney's.",1,22
14,14,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> Or the Series 9000 is going to turn it into mush.",1,22
15,15,3,The_Rickshank_Rickdemption,"
 [ Farts ]",1,22
16,16,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Relaxed enough? [ Chuckles ]",1,22
17,17,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> I admire you, Rick--",1,22
18,18,3,The_Rickshank_Rickdemption,"
 [ Farts ] ",1,22
19,19,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> [ Laughs ] ",1,22
20,20,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> When I-- [ Farts ] ",1,22
21,21,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> [ Laughs ] ",1,22
22,22,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> Rick, here's-- [ Farts ]",1,22
23,23,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> [ Laughs ] ",1,22
24,24,3,The_Rickshank_Rickdemption,"
<b>Gromflomite Captain:</b> What's going on? ",1,22
25,25,3,The_Rickshank_Rickdemption,"
<b>Gromflomite Worker:</b> It's hard to tell. He may have manifested some sort of butt.",1,22
26,26,3,The_Rickshank_Rickdemption,"
<b>Gromflomite Captain:</b> He can do that?",1,22
27,27,3,The_Rickshank_Rickdemption,"
<b>Gromflomite Worker:</b> He is the smartest man in the universe.",1,22
28,28,3,The_Rickshank_Rickdemption,"
Transition to <a class=""mw-redirect"" href=""/wiki/Smith_residence"" title=""Smith residence"">Smith residence</a>",1,22
29,29,3,The_Rickshank_Rickdemption,"
<b>Jerry:</b> [ Sighs contently ] I tell ya, the <a href=""/wiki/Galactic_Federation"" title=""Galactic Federation"">Galactic Federation</a> taking over <a href=""/wiki/Earth"" title=""Earth"">Earth</a> -- best thing that's ever happened to this family. I just got my sixth promotion this week, and I still don't know what I do.",1,22
30,30,3,The_Rickshank_Rickdemption,"
<b><a class=""mw-redirect"" href=""/wiki/Summer"" title=""Summer"">Summer</a>:</b> Who cares how high they promote you? Everyone just gets paid in pills.",1,22
31,31,3,The_Rickshank_Rickdemption,"
<b>Jerry:</b> Well, when you're not sure what you do for a living, you can make your own rules.",1,22
32,32,3,The_Rickshank_Rickdemption,"
<b>Beth:</b> Summer, show your father some respect. He's pulling down a six-chewable figure income.",1,22
33,33,3,The_Rickshank_Rickdemption,"
[ Bottle shatters ] ",1,22
